"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
'818', 'Race Car', '/problems/race-car', 'N', '43.5%', 'Hard', '100%;'
'2158', 'Amount of New Area Painted Each Day', '/problems/amount-of-new-area-painted-each-day', 'Y', '55.0%', 'Hard', '97.1183%;'
'366', 'Find Leaves of Binary Tree', '/problems/find-leaves-of-binary-tree', 'Y', '80.1%', 'Medium', '94.5424%;'
'2034', 'Stock Price Fluctuation', '/problems/stock-price-fluctuation', 'N', '49.3%', 'Medium', '91.8657%;'
'729', 'My Calendar I', '/problems/my-calendar-i', 'N', '57.2%', 'Medium', '90.553%;'
'359', 'Logger Rate Limiter', '/problems/logger-rate-limiter', 'Y', '75.5%', 'Easy', '89.1067%;'
'2096', 'Step-By-Step Directions From a Binary Tree Node to Another', '/problems/step-by-step-directions-from-a-binary-tree-node-to-another', 'N', '48.8%', 'Medium', '88.4394%;'
'1293', 'Shortest Path in a Grid with Obstacles Elimination', '/problems/shortest-path-in-a-grid-with-obstacles-elimination', 'N', '45.6%', 'Hard', '87.6548%;'
'715', 'Range Module', '/problems/range-module', 'N', '44.7%', 'Hard', '84.773%;'
'843', 'Guess the Word', '/problems/guess-the-word', 'N', '41.8%', 'Hard', '82.3085%;'
'1101', 'The Earliest Moment When Everyone Become Friends', '/problems/the-earliest-moment-when-everyone-become-friends', 'Y', '64.9%', 'Medium', '80.8786%;'
'1055', 'Shortest Way to Form String', '/problems/shortest-way-to-form-string', 'Y', '59.1%', 'Medium', '77.9969%;'
'2013', 'Detect Squares', '/problems/detect-squares', 'N', '50.1%', 'Medium', '77.4848%;'
'1610', 'Maximum Number of Visible Points', '/problems/maximum-number-of-visible-points', 'N', '37.4%', 'Hard', '77.0994%;'
'1048', 'Longest String Chain', '/problems/longest-string-chain', 'N', '59.1%', 'Medium', '76.4255%;'
'2115', 'Find All Possible Recipes from Given Supplies', '/problems/find-all-possible-recipes-from-given-supplies', 'N', '48.5%', 'Medium', '73.5438%;'
'68', 'Text Justification', '/problems/text-justification', 'N', '36.8%', 'Hard', '70.6621%;'
'2172', 'Maximum AND Sum of Array', '/problems/maximum-and-sum-of-array', 'N', '47.3%', 'Hard', '68.9052%;'
'2421', 'Number of Good Paths', '/problems/number-of-good-paths', 'N', '39.7%', 'Hard', '68.6658%;'
'2416', 'Sum of Prefix Scores of Strings', '/problems/sum-of-prefix-scores-of-strings', 'N', '42.5%', 'Hard', '67.7727%;'
'1996', 'The Number of Weak Characters in the Game', '/problems/the-number-of-weak-characters-in-the-game', 'N', '44.0%', 'Medium', '67.2464%;'
'528', 'Random Pick with Weight', '/problems/random-pick-with-weight', 'N', '46.1%', 'Medium', '67.2162%;'
'1105', 'Filling Bookcase Shelves', '/problems/filling-bookcase-shelves', 'N', '59.1%', 'Medium', '66.9018%;'
'900', 'RLE Iterator', '/problems/rle-iterator', 'N', '59.5%', 'Medium', '66.3627%;'
'2101', 'Detonate the Maximum Bombs', '/problems/detonate-the-maximum-bombs', 'N', '41.2%', 'Medium', '64.6064%;'
'2018', 'Check if Word Can Be Placed In Crossword', '/problems/check-if-word-can-be-placed-in-crossword', 'N', '49.3%', 'Medium', '63.3866%;'
'833', 'Find And Replace in String', '/problems/find-and-replace-in-string', 'N', '54.1%', 'Medium', '61.0734%;'
'2402', 'Meeting Rooms III', '/problems/meeting-rooms-iii', 'N', '33.2%', 'Hard', '61.0734%;'
'552', 'Student Attendance Record II', '/problems/student-attendance-record-ii', 'N', '41.2%', 'Hard', '61.0263%;'
'418', 'Sentence Screen Fitting', '/problems/sentence-screen-fitting', 'Y', '35.6%', 'Medium', '58.1446%;'
'2162', 'Minimum Cost to Set Cooking Time', '/problems/minimum-cost-to-set-cooking-time', 'N', '39.5%', 'Medium', '57.9544%;'
'1937', 'Maximum Number of Points with Cost', '/problems/maximum-number-of-points-with-cost', 'N', '36.2%', 'Medium', '56.4424%;'
'1632', 'Rank Transform of a Matrix', '/problems/rank-transform-of-a-matrix', 'N', '41.0%', 'Hard', '55.319%;'
'562', 'Longest Line of Consecutive One in Matrix', '/problems/longest-line-of-consecutive-one-in-matrix', 'Y', '50.0%', 'Medium', '54.8458%;'
'777', 'Swap Adjacent in LR String', '/problems/swap-adjacent-in-lr-string', 'N', '37.1%', 'Medium', '54.8458%;'
'1146', 'Snapshot Array', '/problems/snapshot-array', 'N', '37.3%', 'Medium', '54.7293%;'
'778', 'Swim in Rising Water', '/problems/swim-in-rising-water', 'N', '59.7%', 'Hard', '54.2888%;'
'1387', 'Sort Integers by The Power Value', '/problems/sort-integers-by-the-power-value', 'N', '70.0%', 'Medium', '53.591%;'
'489', 'Robot Room Cleaner', '/problems/robot-room-cleaner', 'Y', '76.5%', 'Hard', '52.9731%;'
'539', 'Minimum Time Difference', '/problems/minimum-time-difference', 'N', '56.3%', 'Medium', '52.9192%;'
'2188', 'Minimum Time to Finish the Race', '/problems/minimum-time-to-finish-the-race', 'N', '41.9%', 'Hard', '52.7249%;'
'759', 'Employee Free Time', '/problems/employee-free-time', 'Y', '71.7%', 'Hard', '52.3514%;'
'329', 'Longest Increasing Path in a Matrix', '/problems/longest-increasing-path-in-a-matrix', 'N', '52.2%', 'Hard', '51.6937%;'
'419', 'Battleships in a Board', '/problems/battleships-in-a-board', 'N', '74.7%', 'Medium', '51.2423%;'
